La siguiente tabla muestra una lista completa de códigos de teclado que podemos usar en Pygame:

Código Pygame	ASCII	Nombre Común
K_BACKSPACE	\b	retroceso
K_RETURN	\r	volver
K_TAB	\t	tab
K_ESCAPE	^[	escape
K_SPACE	 	espacio
K_COMMA	,	coma
K_MINUS	-	menos
K_PERIOD	.	punto
K_SLASH	/	barra
K_0	0	0
K_1	1	1
K_2	2	2
K_3	3	3
K_4	4	4
K_5	5	5
K_6	6	6
K_7	7	7
K_8	8	8
K_9	9	9
K_SEMICOLON	;	punto y coma
K_EQUALS	=	igual
K_LEFTBRACKET	[	corchete izquierdo
K_RIGHTBRACKET	]	corchete derecho
K_BACKSLASH	\	contrabarra
K_BACKQUOTE	`	tilde grave
K_a	a	a
K_b	b	b
K_c	c	c
K_d	d	d
K_e	e	e
K_f	f	f
K_g	g	g
K_h	h	h
K_i	i	i
K_j	j	j
K_k	k	k
K_l	l	l
K_m	m	m
K_n	n	n
K_o	o	o
K_p	p	p
K_q	q	q
K_r	r	r
K_s	s	s
K_t	t	t
K_u	u	u
K_v	v	v
K_w	w	w
K_x	x	x
K_y	y	y
K_z	z	z
K_DELETE	delete	
K_KP0	keypad	0 teclado numérico
K_KP1	keypad	1 teclado numérico
K_KP2	keypad	2 teclado numérico
K_KP3	keypad	3 teclado numérico
K_KP4	keypad	4 teclado numérico
K_KP5	keypad	5 teclado numérico
K_KP6	keypad	6 teclado numérico
K_KP7	keypad	7 teclado numérico
K_KP8	keypad	8 teclado numérico
K_KP9	keypad	9 teclado numérico
K_KP_PERIOD	.	punto teclado numérico
K_KP_DIVIDE	/	dividir teclado numérico
K_KP_MULTIPLY	*	multiplicar teclado numérico
K_KP_MINUS	-	restar teclado numérico
K_KP_PLUS	+	sumar teclado numérico
K_KP_ENTER	\r	intro teclado numérico
K_KP_EQUALS	=	igual teclado numérico
K_UP	up	arriba
K_DOWN	down	abajo
K_RIGHT	right	derecha
K_LEFT	left	izquierda
K_INSERT	insert	insertar
K_HOME	home	inicio
K_END	end	fin
K_PAGEUP	page	página arriba
K_PAGEDOWN	page	página abajo
K_F1	F1	
K_F2	F2	
K_F3	F3	
K_F4	F4	
K_F5	F5	
K_F6	F6	
K_F7	F7	
K_F8	F8	
K_F9	F9	
K_F10	F10	
K_F11	F11	
K_F12	F12	
K_NUMLOCK	bloqnum	
K_CAPSLOCK	bloqmayus	
K_RSHIFT	shift	derecha
K_LSHIFT	shift	izquierda
K_RCTRL	ctrl	derecha
K_LCTRL	ctrl	izquierda
K_RALT	alt	derecha
K_LALT	alt	izquierda
